Company,Customer ID,Cliente,Pagador,Loan ID,Payment Date,TPV,Total Payment,Currency,Principal Payment,Interest Payment,Fee Payment,Other Payment,Tax Payment,All Rebates,Outstanding Loan Value,interest_burden
Abaco Financial,CLIAB000106,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1680-029,2028-01-20,6610.64,15828.94565,USD,16983.39,387.1794,46.45,,63.778571,,0,0.024460214126769714
Abaco Technologies,CLIAB000107,SCHEDULE 030 DEL CARMEN GARCIA DE ARAUJO,PAYER 030 ANTONIO ISLEÑO LOVO,DSB701-030,2028-02-19,18783.22,15209.411676,USD,10912.56,1536.8484,197.79,,84.719375,,0,0.10104588084923109
Abaco Technologies,CLIAB000108,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1749-031,2028-03-20,9060.28,6718.202485,USD,17851.72,39.1061,238.35,,47.464859,,0,0.005820917140755099
Abaco Technologies,CLIAB000109,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1280-032,2028-04-19,19657.2,14127.377534,USD,18280.77,1640.5499,327.16,,118.047992,,0,0.11612557929111261
Abaco Technologies,CLIAB000110,SCHEDULE 033 DEL CARMEN GARCIA DE ARAUJO,PAYER 033 ANTONIO ISLEÑO LOVO,DSB1054-033,2028-05-19,16437.91,2210.869341,USD,3588.41,592.4047,282.02,,16.177943,,0,0.2679510222580811
Abaco Technologies,CLIAB000111,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB691-034,2028-06-18,20584.84,10851.51402,USD,12847.76,1279.3711,529.42,,195.419915,,0,0.11789793549932676
Abaco Technologies,CLIAB000112,SCHEDULE 035 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB622-035,2028-07-18,12516.08,9459.498234,USD,7117.13,1267.2802,423.29,,250.323708,,0,0.13396907200056885
Abaco Financial,CLIAB000113,SCHEDULE 036 DEL CARMEN GARCIA DE ARAUJO,PAYER 036 ANTONIO ISLEÑO LOVO,DSB1212-036,2028-08-17,5706.29,11451.572703,USD,10726.56,80.3451,457.91,,34.76835,,0,0.007016075615443788
Abaco Technologies,CLIAB000114,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB920-037,2028-09-16,17767.98,13516.003061,USD,1888.4,489.4729,201.6,,265.933776,,0,0.03621432296152393
Abaco Financial,CLIAB000115,SCHEDULE 038 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB689-038,2028-10-16,21526.81,14871.567628,USD,14810.96,1957.5984,289.72,,102.512532,,0,0.13163362793807012
Abaco Financial,CLIAB000116,SCHEDULE 039 DEL CARMEN GARCIA DE ARAUJO,PAYER 039 ANTONIO ISLEÑO LOVO,DSB1562-039,2028-11-15,3559.31,20205.85941,USD,6277.67,723.8189,103.95,,237.893844,,0,0.0358222278653378
Abaco Financial,CLIAB000117,"ARTISTA LIVE, S.A. DE C.V.",PAYER 040 ANTONIO ISLEÑO LOVO,DSB857-040,2028-12-15,5855.46,18661.178215,USD,15131.71,1138.1364,374.49,,311.604407,,0,0.060989525253296026
Abaco Financial,CLIAB000118,SCHEDULE 041 DEL CARMEN GARCIA DE ARAUJO,"CASA BETYKAS, S.A. DE C.V.",DSB1063-041,2029-01-14,11590.16,21064.961181,USD,8719.84,641.6994,262.68,,124.965867,,0,0.030462880728154142
Abaco Technologies,CLIAB000119,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1698-042,2029-02-13,15032.68,18689.321108,USD,5776.83,791.6813,591.8,,259.777531,,0,0.04236008870654586
Abaco Financial,CLIAB000120,SCHEDULE 043 DEL CARMEN GARCIA DE ARAUJO,PAYER 043 ANTONIO ISLEÑO LOVO,DSB1881-043,2029-03-15,13526.39,15740.808306,USD,10669.57,958.812,196.36,,82.323817,,0,0.060912500893268925
Abaco Technologies,CLIAB000121,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1094-044,2029-04-14,8253.96,4267.887106,USD,8146.3,264.9288,467.48,,113.497704,,0,0.06207493155747968
Abaco Technologies,CLIAB000122,SCHEDULE 045 DEL CARMEN GARCIA DE ARAUJO,PAYER 045 ANTONIO ISLEÑO LOVO,DSB1630-045,2029-05-14,18631.83,17499.118771,USD,15064.18,1943.3904,129.61,,110.357702,,0,0.11105647235337573
Abaco Financial,CLIAB000123,SCHEDULE 046 DEL CARMEN GARCIA DE ARAUJO,PAYER 046 ANTONIO ISLEÑO LOVO,DSB1713-046,2029-06-13,2920.26,2074.512579,USD,1863.32,1415.0365,371.62,,9.818674,,0,0.6821055289441076
Abaco Financial,CLIAB000124,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1304-047,2029-07-13,7054.7,4502.456235,USD,18813.15,669.5959,305.19,,141.14934,,0,0.1487179141897867
Abaco Technologies,CLIAB000125,SCHEDULE 048 DEL CARMEN GARCIA DE ARAUJO,"CASA BETYKAS, S.A. DE C.V.",DSB1734-048,2029-08-12,8207.52,4533.361932,USD,15861.17,1840.3732,580.42,,308.040932,,0,0.4059621154466429
Abaco Technologies,CLIAB000126,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB707-049,2029-09-11,16800.72,11087.554852,USD,15126.7,865.2595,240.21,,324.622629,,0,0.07803880220208538
Abaco Financial,CLIAB000127,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1229-050,2029-10-11,7258.1,11497.633203,USD,5724.38,1128.7397,106.15,,185.342156,,0,0.09817148278008084
Abaco Financial,CLIAB000128,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1761-051,2029-11-10,13452.01,17934.845089,USD,14690.32,121.4273,176.44,,316.391075,,0,0.006770468292166915
Abaco Financial,CLIAB000129,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1155-052,2029-12-10,9859.46,2572.205033,USD,12447.17,1327.2313,75.68,,286.945878,,0,0.5159896987107714
Abaco Technologies,CLIAB000130,SCHEDULE 053 DEL CARMEN GARCIA DE ARAUJO,"CASA BETYKAS, S.A. DE C.V.",DSB1550-053,2030-01-09,6388.27,1754.966152,USD,3866.62,967.5451,454.05,,38.451669,,0,0.5513183823502028
Abaco Technologies,CLIAB000131,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1606-054,2030-02-08,1880.75,4532.434148,USD,9356.76,668.3661,629.63,,281.413578,,0,0.14746294776172883
Abaco Financial,CLIAB000132,SCHEDULE 055 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB895-055,2030-03-10,19995.26,14766.527767,USD,16359.03,1249.7117,531.83,,335.798872,,0,0.08463138523281254
Abaco Technologies,CLIAB000133,SCHEDULE 056 DEL CARMEN GARCIA DE ARAUJO,"CASA BETYKAS, S.A. DE C.V.",DSB1867-056,2030-04-09,7216.68,16756.93059,USD,5763.52,1219.7396,142.32,,251.345708,,0,0.07279015649368994
Abaco Technologies,CLIAB000134,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1127-057,2030-05-09,4069.45,14462.090679,USD,14215.62,83.691,605.75,,209.255012,,0,0.005786922641933464
Abaco Financial,CLIAB000135,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB861-058,2030-06-08,17223.3,13768.12501,USD,17205.18,938.6372,561.18,,220.467277,,0,0.0681746569934725
Abaco Financial,CLIAB000136,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB894-059,2030-07-08,14648.33,17600.134065,USD,5526.88,419.2765,234.97,,224.157094,,0,0.023822346946423673
Abaco Technologies,CLIAB000137,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1006-060,2030-08-07,6382.81,3851.661959,USD,18501.14,1371.5361,454.83,,66.908718,,0,0.3560894270057099
Abaco Technologies,CLIAB000138,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1557-061,2030-09-06,9114.95,15086.92996,USD,12552.48,244.8877,155.93,,292.994704,,0,0.01623177814500837
Abaco Financial,CLIAB000139,SCHEDULE 062 DEL CARMEN GARCIA DE ARAUJO,PAYER 062 ANTONIO ISLEÑO LOVO,DSB1420-062,2030-10-06,2818.79,2237.156123,USD,8150.2,537.3996,469.98,,146.413304,,0,0.2402155104308739
Abaco Financial,CLIAB000140,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1799-063,2030-11-05,10643.82,16578.353284,USD,1590.54,443.0945,227.08,,123.91672,,0,0.02672729265744606
Abaco Financial,CLIAB000141,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 064 ANTONIO ISLEÑO LOVO,DSB1117-064,2030-12-05,11362.52,19330.595836,USD,16819.99,1621.0082,351.7,,166.975727,,0,0.08385712544779109
Abaco Financial,CLIAB000142,SCHEDULE 065 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1013-065,2031-01-04,5981.09,7326.99429,USD,13645.04,1763.7176,312.2,,319.423746,,0,0.24071502313126547
Abaco Financial,CLIAB000143,SCHEDULE 066 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1098-066,2031-02-03,21509.01,20701.639772,USD,2301.56,1610.0756,210.68,,187.702535,,0,0.0777752689029836
Abaco Financial,CLIAB000144,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1425-067,2031-03-05,5323.92,13996.221427,USD,16827.42,1404.1926,64.56,,265.127701,,0,0.10032654937075969
Abaco Technologies,CLIAB000145,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1273-068,2031-04-04,17825.79,15145.776651,USD,15183.23,882.0806,176.42,,198.271531,,0,0.05823937724195614
Abaco Technologies,CLIAB000146,SCHEDULE 069 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1935-069,2031-05-04,9156.71,13970.555439,USD,9629.84,1248.346,404.7,,281.644768,,0,0.08935550239578417
Abaco Technologies,CLIAB000147,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1962-070,2031-06-03,6908.73,8156.561183,USD,13730.04,1832.9305,590.72,,244.092427,,0,0.22471853749104648
Abaco Financial,CLIAB000148,"ARTISTA LIVE, S.A. DE C.V.",PAYER 071 ANTONIO ISLEÑO LOVO,DSB620-071,2031-07-03,18581.24,7388.438212,USD,7499.16,1666.264,168.89,,247.621396,,0,0.2255231690634865
Abaco Technologies,CLIAB000149,"ARTISTA LIVE, S.A. DE C.V.",PAYER 072 ANTONIO ISLEÑO LOVO,DSB859-072,2031-08-02,20573.59,21860.804605,USD,4552.75,116.6419,98.34,,167.666269,,0,0.00533566362755567
Abaco Financial,CLIAB000150,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1600-073,2031-09-01,21564.31,17217.81745,USD,18322.64,482.4592,276.99,,87.67937,,0,0.028020926659319417
Abaco Financial,CLIAB000151,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1315-074,2031-10-01,19852.57,17302.514898,USD,2391.56,1358.0805,355.67,,265.029518,,0,0.07849035287679369
Abaco Technologies,CLIAB000152,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1949-075,2031-10-31,1753.62,4095.791205,USD,11592.96,1942.7928,374.7,,324.349998,,0,0.4743388280213859
Abaco Technologies,CLIAB000153,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB835-076,2031-11-30,4277.44,18085.133824,USD,11267.67,1332.5839,340.87,,10.829907,,0,0.07368393913854182
Abaco Technologies,CLIAB000154,SCHEDULE 077 DEL CARMEN GARCIA DE ARAUJO,PAYER 077 ANTONIO ISLEÑO LOVO,DSB1576-077,2031-12-30,5462.24,4415.710941,USD,13674.88,1792.4146,312.35,,340.533934,,0,0.4059175575460296
Abaco Financial,CLIAB000155,"ARTISTA LIVE, S.A. DE C.V.",PAYER 078 ANTONIO ISLEÑO LOVO,DSB1032-078,2032-01-29,9320.2,8931.114078,USD,3407.68,1107.7454,492.37,,35.302182,,0,0.12403216332536918
Abaco Financial,CLIAB000156,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1903-079,2032-02-28,19849.32,14369.792865,USD,11248.61,528.174,338.92,,247.925894,,0,0.03675585340457167
Abaco Financial,CLIAB000157,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1395-080,2032-03-29,3206.35,12941.384836,USD,14865.32,765.5697,457.94,,331.974263,,0,0.05915670615638897
Abaco Financial,CLIAB000158,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 081 ANTONIO ISLEÑO LOVO,DSB1228-081,2032-04-28,5389.56,16481.286162,USD,10600.59,2020.7502,117.18,,236.552587,,0,0.1226087685231225
Abaco Technologies,CLIAB000159,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1277-082,2032-05-28,4904.73,3093.297673,USD,3404.99,1098.5525,404.83,,183.678396,,0,0.35513960055922494
Abaco Technologies,CLIAB000160,SCHEDULE 083 DEL CARMEN GARCIA DE ARAUJO,"CASA BETYKAS, S.A. DE C.V.",DSB1648-083,2032-06-27,2706.91,12050.056356,USD,2034.24,158.3082,552.58,,153.928479,,0,0.013137548516208783
Abaco Financial,CLIAB000161,SCHEDULE 084 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB830-084,2032-07-27,3207.57,19253.565893,USD,2964.09,294.362,434.85,,85.205084,,0,0.015288700370408836
Abaco Financial,CLIAB000162,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB854-085,2032-08-26,11122.51,19065.030653,USD,10902.22,1132.7643,490.58,,287.139232,,0,0.05941581320362328
Abaco Technologies,CLIAB000163,SCHEDULE 086 DEL CARMEN GARCIA DE ARAUJO,"CASA BETYKAS, S.A. DE C.V.",DSB1788-086,2032-09-25,3667.85,12217.562669,USD,6423.89,1138.6809,291.99,,347.621427,,0,0.09320033224705368
Abaco Financial,CLIAB000164,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1172-087,2032-10-25,20937.49,10117.314867,USD,14289.33,1568.3075,297.72,,108.685276,,0,0.15501222613080903
Abaco Technologies,CLIAB000165,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB649-088,2032-11-24,18877.11,10097.316932,USD,16778.31,974.4418,270.28,,186.603205,,0,0.09650502272656603
Abaco Technologies,CLIAB000166,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 089 ANTONIO ISLEÑO LOVO,DSB1362-089,2032-12-24,14360.57,19977.976849,USD,4768.91,424.2383,569.47,,147.665094,,0,0.02123529840916976
Abaco Financial,CLIAB000167,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 090 ANTONIO ISLEÑO LOVO,DSB1481-090,2033-01-23,3486.05,13050.126021,USD,18360.51,1021.6062,638.91,,301.747442,,0,0.07828324403580868
Abaco Technologies,CLIAB000168,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1266-091,2033-02-22,13995.24,10327.78895,USD,16049.98,947.6846,610.5,,90.229369,,0,0.09176064737457673
Abaco Financial,CLIAB000169,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB718-092,2033-03-24,17650.17,14023.17933,USD,13637.46,1416.6562,19.62,,15.588342,,0,0.10102246906087307
Abaco Technologies,CLIAB000170,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 093 ANTONIO ISLEÑO LOVO,DSB1655-093,2033-04-23,2373.31,10426.962964,USD,2363.64,1168.2751,57.55,,347.449074,,0,0.11204366065493584
Abaco Technologies,CLIAB000171,SCHEDULE 094 DEL CARMEN GARCIA DE ARAUJO,"CASA BETYKAS, S.A. DE C.V.",DSB1322-094,2033-05-23,6841.58,4482.891019,USD,18651.13,1355.4117,587.38,,120.147445,,0,0.30235214156563467
Abaco Financial,CLIAB000172,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 095 ANTONIO ISLEÑO LOVO,DSB683-095,2033-06-22,9052.82,13651.070187,USD,6374.76,726.9658,181.96,,232.415924,,0,0.05325339259425199
Abaco Financial,CLIAB000173,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1431-096,2033-07-22,15473.08,17919.797094,USD,16269.31,296.0824,331.26,,7.356581,,0,0.01652264244103165
Abaco Technologies,CLIAB000174,SCHEDULE 097 DEL CARMEN GARCIA DE ARAUJO,"CASA BETYKAS, S.A. DE C.V.",DSB1742-097,2033-08-21,15665.66,5790.492391,USD,13977.99,157.6525,463.72,,67.316708,,0,0.027226095702160818
Abaco Technologies,CLIAB000175,"ARTISTA LIVE, S.A. DE C.V.",PAYER 098 ANTONIO ISLEÑO LOVO,DSB1961-098,2033-09-20,15482.65,20523.549289,USD,1725.13,884.2533,288.02,,19.565078,,0,0.043084813817945856
Abaco Technologies,CLIAB000176,SCHEDULE 099 DEL CARMEN GARCIA DE ARAUJO,"CASA BETYKAS, S.A. DE C.V.",DSB636-099,2033-10-20,16772.26,4074.590022,USD,8146.25,1258.5375,633.01,,105.994431,,0,0.30887463357166195
Abaco Financial,CLIAB000177,SCHEDULE 100 DEL CARMEN GARCIA DE ARAUJO,PAYER 100 ANTONIO ISLEÑO LOVO,DSB765-100,2033-11-19,1732.75,17647.617077,USD,11861.43,1782.799,592.67,,85.790902,,0,0.10102208089745487
