Company,Customer ID,Cliente,Pagador,Loan ID,True Payment Date,True Devolution,True Total Payment,True Payment Currency,True Principal Payment,True Interest Payment,True Fee Payment,True Other Payment,True Tax Payment,True Fee Tax Payment,True Rabates,True Outstanding Loan Value,True Payment Status,payment_efficiency
Abaco Financial,CLIAB000224,CLIENTE 029 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3475-029,2025-09-02,0.0,13395.08,USD,45139.99,92.75,1317.12,,3.97,196.58,0,5582.74,Late,1.0
Abaco Technologies,CLIAB000225,"SUPER MARINO, S.A. DE C.V.",PAGADOR 030 SYSTEMS EL SALVADOR SA DE CV,DSB2793-030,2025-09-01,0.0,24051.35,USD,35923.23,23.32,129.83,,3.09,87.58,0,5564.82,On Time,1.0
Abaco Technologies,CLIAB000226,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB1846-031,2025-08-31,658.45,8519.85,USD,52643.08,77.76,1040.78,,11.2,151.18,0,436.39,On Time,1.0
Abaco Financial,CLIAB000227,"SUPER MARINO, S.A. DE C.V.",PAGADOR 032 SYSTEMS EL SALVADOR SA DE CV,DSB1460-032,2025-08-30,658.45,41231.55,USD,3365.24,46.93,1486.42,,3.25,9.34,0,580.64,On Time,0.0816180812993933
Abaco Technologies,CLIAB000228,CLIENTE 033 ALEXANDER AGUILAR AGUILAR,PAGADOR 033 SYSTEMS EL SALVADOR SA DE CV,DSB3828-033,2025-08-29,658.45,33598.18,USD,30747.27,71.9,1325.22,,4.92,185.42,0,1734.02,Prepayment,0.9151468918852153
Abaco Technologies,CLIAB000229,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB2518-034,2025-08-28,0.01,19356.73,USD,52343.18,48.3,1402.88,,5.28,174.96,0,4596.81,On Time,1.0
Abaco Financial,CLIAB000230,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 035 SYSTEMS EL SALVADOR SA DE CV,DSB3793-035,2025-08-27,658.45,27304.15,USD,39937.01,49.74,1246.74,,3.46,36.51,0,7418.84,On Time,1.0
Abaco Financial,CLIAB000231,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB3563-036,2025-08-26,0.0,4506.59,USD,53118.85,28.25,319.97,,11.32,163.94,0,3212.29,On Time,1.0
Abaco Financial,CLIAB000232,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2458-037,2025-08-25,0.0,44068.14,USD,16004.46,57.62,106.89,,10.88,169.37,0,2524.77,On Time,0.3631753007955407
Abaco Financial,CLIAB000233,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB3763-038,2025-08-24,0.01,47101.79,USD,19246.01,10.11,1372.8,,8.1,5.2,0,765.03,On Time,0.40860464113996514
Abaco Financial,CLIAB000234,CLIENTE 039 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3912-039,2025-08-23,0.01,27049.98,USD,57621.58,89.47,1060.86,,8.2,89.79,0,1304.03,On Time,1.0
Abaco Financial,CLIAB000235,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB3037-040,2025-08-22,0.0,35681.34,USD,37309.35,82.97,1515.83,,1.44,109.13,0,349.19,Late,1.0
Abaco Financial,CLIAB000236,CLIENTE 041 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB2877-041,2025-08-21,0.0,54708.17,USD,31144.15,43.84,1395.99,,5.51,163.06,0,5575.19,On Time,0.5692778610580468
Abaco Technologies,CLIAB000237,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2412-042,2025-08-20,0.0,35687.22,USD,25521.16,93.55,685.4,,3.43,43.05,0,827.43,On Time,0.7151344374821014
Abaco Financial,CLIAB000238,"SUPER MARINO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1677-043,2025-08-19,658.45,61431.9,USD,31683.45,52.66,1321.14,,9.54,86.98,0,1742.32,On Time,0.5157491466160089
Abaco Technologies,CLIAB000239,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3314-044,2025-08-18,0.0,23582.01,USD,42798.12,17.91,37.54,,3.76,171.81,0,5755.51,Late,1.0
Abaco Financial,CLIAB000240,CLIENTE 045 ALEXANDER AGUILAR AGUILAR,PAGADOR 045 SYSTEMS EL SALVADOR SA DE CV,DSB2740-045,2025-08-17,0.0,57463.52,USD,26230.55,19.92,667.09,,8.3,45.37,0,1192.08,On Time,0.4564730806605652
Abaco Financial,CLIAB000241,CLIENTE 046 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3481-046,2025-08-16,0.01,18417.03,USD,953.84,35.8,1142.24,,5.93,143.6,0,3674.33,On Time,0.051791195431619544
Abaco Financial,CLIAB000242,CLIENTE 047 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1603-047,2025-08-15,658.45,40971.64,USD,36746.99,72.37,1249.17,,10.33,140.73,0,1818.15,Prepayment,0.8968884330722421
Abaco Financial,CLIAB000243,CLIENTE 048 ALEXANDER AGUILAR AGUILAR,PAGADOR 048 SYSTEMS EL SALVADOR SA DE CV,DSB1991-048,2025-08-14,0.01,23738.66,USD,20518.51,56.16,1307.37,,11.4,47.84,0,3613.09,On Time,0.8643499675213343
Abaco Financial,CLIAB000244,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB1422-049,2025-08-13,0.01,6350.43,USD,26501.86,79.18,1469.98,,10.04,180.23,0,7919.11,On Time,1.0
Abaco Technologies,CLIAB000245,CLIENTE 050 ALEXANDER AGUILAR AGUILAR,PAGADOR 050 SYSTEMS EL SALVADOR SA DE CV,DSB3527-050,2025-08-12,0.0,48565.02,USD,37563.51,34.43,1430.09,,12.16,89.99,0,1201.99,On Time,0.7734684346881769
Abaco Technologies,CLIAB000246,CLIENTE 051 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB1888-051,2025-08-11,0.01,19767.26,USD,22905.36,41.46,802.08,,12.11,60.8,0,3593.6,On Time,1.0
Abaco Technologies,CLIAB000247,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2451-052,2025-08-10,0.01,30304.17,USD,49631.14,41.19,1363.63,,5.87,88.13,0,2493.09,On Time,1.0
Abaco Technologies,CLIAB000248,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 053 SYSTEMS EL SALVADOR SA DE CV,DSB2701-053,2025-08-09,0.0,57524.49,USD,13349.07,40.01,445.48,,5.65,52.45,0,6146.21,On Time,0.23205890221712527
Abaco Financial,CLIAB000249,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1732-054,2025-08-08,0.0,52025.48,USD,47073.25,66.53,475.12,,2.86,51.47,0,2914.46,On Time,0.9048114500817676
Abaco Financial,CLIAB000250,CLIENTE 055 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1943-055,2025-08-07,658.45,12641.15,USD,20373.7,56.57,957.78,,7.49,2.87,0,1005.88,On Time,1.0
Abaco Technologies,CLIAB000251,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB1741-056,2025-08-06,0.01,14386.87,USD,58488.58,87.77,1340.02,,7.96,142.56,0,1722.85,Prepayment,1.0
Abaco Financial,CLIAB000252,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2291-057,2025-08-05,658.45,28307.94,USD,31734.36,61.19,1533.47,,5.25,98.05,0,2462.38,On Time,1.0
Abaco Financial,CLIAB000253,CLIENTE 058 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB3164-058,2025-08-04,658.45,50256.16,USD,1496.58,28.97,1512.6,,3.78,64.49,0,4857.23,On Time,0.029779036042546822
Abaco Technologies,CLIAB000254,"SUPER MARINO, S.A. DE C.V.",PAGADOR 059 SYSTEMS EL SALVADOR SA DE CV,DSB1913-059,2025-08-03,0.01,29505.56,USD,22861.24,58.79,1162.77,,7.87,177.54,0,2022.71,On Time,0.774811255912445
Abaco Technologies,CLIAB000255,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB2624-060,2025-08-02,658.45,7957.79,USD,5582.64,20.8,1522.57,,10.06,32.02,0,862.76,Late,0.7015314553412443
Abaco Technologies,CLIAB000256,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB2220-061,2025-08-01,658.45,17918.22,USD,27897.85,86.67,622.16,,6.96,76.22,0,4590.41,Late,1.0
Abaco Technologies,CLIAB000257,CLIENTE 062 ALEXANDER AGUILAR AGUILAR,PAGADOR 062 SYSTEMS EL SALVADOR SA DE CV,DSB3752-062,2025-07-31,0.01,11039.74,USD,37058.41,19.86,1014.91,,6.91,11.37,0,7838.04,On Time,1.0
Abaco Technologies,CLIAB000258,"SUPER MARINO, S.A. DE C.V.",PAGADOR 063 SYSTEMS EL SALVADOR SA DE CV,DSB3334-063,2025-07-30,0.01,44965.75,USD,35415.58,45.14,572.34,,8.48,20.2,0,3152.29,On Time,0.787612349399265
Abaco Technologies,CLIAB000259,CLIENTE 064 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB1877-064,2025-07-29,0.0,15716.31,USD,31891.2,70.57,1425.15,,4.33,130.55,0,7508.34,Late,1.0
Abaco Financial,CLIAB000260,"SUPER MARINO, S.A. DE C.V.",PAGADOR 065 SYSTEMS EL SALVADOR SA DE CV,DSB1220-065,2025-07-28,0.0,47534.36,USD,35953.18,37.42,1011.24,,10.02,155.79,0,7363.59,Late,0.7563619243006533
Abaco Technologies,CLIAB000261,CLIENTE 066 ALEXANDER AGUILAR AGUILAR,PAGADOR 066 SYSTEMS EL SALVADOR SA DE CV,DSB1498-066,2025-07-27,0.01,24465.12,USD,7851.29,80.49,1525.29,,3.77,99.41,0,1717.94,On Time,0.32091769833951356
Abaco Technologies,CLIAB000262,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 067 SYSTEMS EL SALVADOR SA DE CV,DSB2869-067,2025-07-26,0.0,27901.22,USD,51671.26,53.64,1263.61,,7.66,2.09,0,7152.42,Late,1.0
Abaco Financial,CLIAB000263,CLIENTE 068 ALEXANDER AGUILAR AGUILAR,PAGADOR 068 SYSTEMS EL SALVADOR SA DE CV,DSB3223-068,2025-07-25,658.45,12095.18,USD,31431.64,66.63,1232.36,,2.39,2.59,0,2622.41,On Time,1.0
Abaco Technologies,CLIAB000264,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB1463-069,2025-07-24,658.45,61242.92,USD,37812.29,58.96,792.3,,7.78,26.41,0,1899.53,On Time,0.6174148783238944
Abaco Technologies,CLIAB000265,CLIENTE 070 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1599-070,2025-07-23,658.45,26219.33,USD,9687.52,14.84,1142.03,,9.3,192.81,0,4401.03,Late,0.3694800744336335
Abaco Financial,CLIAB000266,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2754-071,2025-07-22,0.01,1387.13,USD,50505.14,18.18,77.45,,3.53,5.95,0,614.26,Late,1.0
Abaco Financial,CLIAB000267,"SUPER MARINO, S.A. DE C.V.",PAGADOR 072 SYSTEMS EL SALVADOR SA DE CV,DSB3370-072,2025-07-21,0.0,22921.6,USD,53015.42,40.22,46.71,,1.49,175.54,0,3692.51,Prepayment,1.0
Abaco Financial,CLIAB000268,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2644-073,2025-07-20,0.0,29162.98,USD,3353.14,43.83,740.37,,4.24,76.47,0,7865.33,Prepayment,0.1149793333877402
Abaco Financial,CLIAB000269,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2337-074,2025-07-19,658.45,43176.06,USD,10867.95,46.66,659.89,,4.85,21.89,0,7150.42,On Time,0.25171240729237454
Abaco Financial,CLIAB000270,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB3491-075,2025-07-18,658.45,59532.48,USD,27064.04,46.79,757.44,,8.7,13.68,0,2558.74,Late,0.454609651739689
Abaco Financial,CLIAB000271,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB3636-076,2025-07-17,658.45,57500.82,USD,59815.13,9.36,43.36,,6.36,156.47,0,2882.77,On Time,1.0
Abaco Technologies,CLIAB000272,CLIENTE 077 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB2231-077,2025-07-16,658.45,36019.73,USD,10277.1,54.81,979.25,,10.91,69.36,0,3817.36,Prepayment,0.2853186295399771
Abaco Financial,CLIAB000273,CLIENTE 078 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB1234-078,2025-07-15,0.0,50019.32,USD,24129.84,55.42,12.52,,8.25,187.11,0,6588.42,Late,0.482410396622745
Abaco Technologies,CLIAB000274,CLIENTE 079 ALEXANDER AGUILAR AGUILAR,PAGADOR 079 SYSTEMS EL SALVADOR SA DE CV,DSB3093-079,2025-07-14,658.45,12244.83,USD,35466.24,66.2,1461.36,,11.75,192.91,0,2958.81,On Time,1.0
Abaco Technologies,CLIAB000275,CLIENTE 080 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1506-080,2025-07-13,0.0,49413.24,USD,30431.24,48.1,1199.25,,6.57,151.79,0,6497.84,Late,0.6158519457538102
Abaco Financial,CLIAB000276,CLIENTE 081 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB2638-081,2025-07-12,0.0,15358.89,USD,58458.3,72.66,593.18,,5.23,121.42,0,6932.03,Prepayment,1.0
Abaco Financial,CLIAB000277,CLIENTE 082 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1272-082,2025-07-11,0.01,43057.53,USD,26111.49,91.54,483.35,,4.84,7.34,0,1532.27,On Time,0.6064326030777892
Abaco Financial,CLIAB000278,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1362-083,2025-07-10,658.45,49536.63,USD,35102.96,83.68,1390.52,,5.18,16.64,0,6915.42,Late,0.7086263235912496
Abaco Technologies,CLIAB000279,CLIENTE 084 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB1159-084,2025-07-09,0.0,16815.6,USD,27468.66,64.7,212.58,,5.13,173.61,0,2808.07,On Time,1.0
Abaco Technologies,CLIAB000280,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 085 SYSTEMS EL SALVADOR SA DE CV,DSB3842-085,2025-07-08,0.0,45502.3,USD,46880.61,93.51,591.42,,5.46,116.65,0,5542.27,Late,1.0
Abaco Financial,CLIAB000281,CLIENTE 086 ALEXANDER AGUILAR AGUILAR,PAGADOR 086 SYSTEMS EL SALVADOR SA DE CV,DSB3715-086,2025-07-07,0.0,56114.54,USD,21265.07,16.1,222.62,,1.75,26.06,0,628.21,Late,0.37895828781631286
Abaco Technologies,CLIAB000282,"SUPER MARINO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3256-087,2025-07-06,0.01,36172.3,USD,11841.67,29.33,648.59,,11.6,101.36,0,1457.28,On Time,0.32736845597321707
Abaco Technologies,CLIAB000283,CLIENTE 088 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3897-088,2025-07-05,658.45,17438.8,USD,52649.34,60.69,1437.47,,11.7,6.63,0,3407.09,On Time,1.0
Abaco Technologies,CLIAB000284,CLIENTE 089 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB2251-089,2025-07-04,0.0,11178.31,USD,55091.59,70.64,928.93,,3.85,159.68,0,5617.9,On Time,1.0
Abaco Technologies,CLIAB000285,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2500-090,2025-07-03,0.01,24374.02,USD,7403.27,70.84,1487.0,,1.76,67.84,0,1951.2,On Time,0.30373610918510774
Abaco Technologies,CLIAB000286,CLIENTE 091 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB2284-091,2025-07-02,658.45,1882.35,USD,15400.22,49.72,596.28,,8.11,165.44,0,4323.46,On Time,1.0
Abaco Technologies,CLIAB000287,CLIENTE 092 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB3799-092,2025-07-01,0.0,32342.91,USD,54976.24,73.14,1310.47,,3.81,119.22,0,1524.82,On Time,1.0
Abaco Financial,CLIAB000288,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 093 SYSTEMS EL SALVADOR SA DE CV,DSB3793-093,2025-06-30,0.0,23087.67,USD,35332.43,65.95,1321.25,,12.12,74.8,0,200.88,Prepayment,1.0
Abaco Technologies,CLIAB000289,"SUPER MARINO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1136-094,2025-06-29,0.0,34179.64,USD,22929.19,72.54,1278.55,,9.5,196.53,0,7021.44,Late,0.6708435197093943
Abaco Technologies,CLIAB000290,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 095 SYSTEMS EL SALVADOR SA DE CV,DSB1298-095,2025-06-28,0.01,11553.24,USD,8681.77,41.77,1020.53,,10.74,95.84,0,7023.76,On Time,0.7514575997728776
Abaco Financial,CLIAB000291,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2199-096,2025-06-27,0.01,11518.94,USD,32332.77,72.06,573.24,,3.41,125.45,0,2371.7,Late,1.0
Abaco Technologies,CLIAB000292,CLIENTE 097 ALEXANDER AGUILAR AGUILAR,PAGADOR 097 SYSTEMS EL SALVADOR SA DE CV,DSB2209-097,2025-06-26,658.45,1487.3,USD,5173.18,33.17,1412.5,,1.77,80.84,0,3497.23,On Time,1.0
Abaco Financial,CLIAB000293,"SUPER MARINO, S.A. DE C.V.",PAGADOR 098 SYSTEMS EL SALVADOR SA DE CV,DSB2941-098,2025-06-25,658.45,43351.47,USD,35986.08,55.04,125.32,,4.7,66.12,0,5129.64,Late,0.8301005709840982
Abaco Technologies,CLIAB000294,"SUPER MARINO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1388-099,2025-06-24,658.45,10616.17,USD,10355.67,34.95,1018.76,,1.34,73.89,0,3082.53,Late,0.9754619603868439
Abaco Technologies,CLIAB000295,CLIENTE 100 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB1820-100,2025-06-23,0.01,18603.58,USD,51809.54,63.59,691.32,,1.26,25.55,0,2403.34,Late,1.0
Abaco Technologies,CLIAB000296,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 101 SYSTEMS EL SALVADOR SA DE CV,DSB3955-101,2025-06-22,0.01,24008.55,USD,3355.35,93.32,683.16,,5.12,131.4,0,96.49,Late,0.13975646176049783
