Company,Customer ID,Cliente,Pagador,Loan ID,Payment Date,TPV,Total Payment,Currency,Principal Payment,Interest Payment,Fee Payment,Other Payment,Tax Payment,All Rebates,Outstanding Loan Value,interest_burden
Abaco Financial,CLIAB001045,"EMPRESA EJEMPLO 46, S.A. DE C.V.","PAGADOR EJEMPLO 46, S.A. DE C.V.",DSB3922-483,2025-07-15,5554.26,6109.69,USD,5554.26,555.43,183.29,,61.1,,0,0.09090968608881944
Abaco Financial,CLIAB001046,"EMPRESA EJEMPLO 47, S.A. DE C.V.","PAGADOR EJEMPLO 47, S.A. DE C.V.",DSB6244-913,2025-04-06,47873.71,52661.08,USD,47873.71,4787.37,1579.83,,526.61,,0,0.09090907364603995
Abaco Financial,CLIAB001047,"EMPRESA EJEMPLO 48, S.A. DE C.V.","PAGADOR EJEMPLO 48, S.A. DE C.V.",DSB3812-450,2025-08-05,38086.65,41895.32,USD,38086.65,3808.67,1256.86,,418.95,,0,0.09090919940461129
Abaco Financial,CLIAB001048,"EMPRESA EJEMPLO 49, S.A. DE C.V.","PAGADOR EJEMPLO 49, S.A. DE C.V.",DSB9166-103,2025-04-02,94480.91,103929.0,USD,94480.91,9448.09,3117.87,,1039.29,,0,0.09090908216186044
Abaco Technologies,CLIAB001049,"EMPRESA EJEMPLO 50, S.A. DE C.V.","PAGADOR EJEMPLO 50, S.A. DE C.V.",DSB8219-311,2025-01-17,55016.06,60517.67,USD,55016.06,5501.61,1815.53,,605.18,,0,0.09090915099672547
Abaco Financial,CLIAB001050,"EMPRESA EJEMPLO 51, S.A. DE C.V.","PAGADOR EJEMPLO 51, S.A. DE C.V.",DSB5177-599,2025-09-15,38348.65,42183.52,USD,38348.65,3834.87,1265.51,,421.84,,0,0.09090919866336422
Abaco Technologies,CLIAB001051,"EMPRESA EJEMPLO 52, S.A. DE C.V.","PAGADOR EJEMPLO 52, S.A. DE C.V.",DSB3323-139,2026-03-16,34721.83,38194.01,USD,34721.83,3472.18,1145.82,,381.94,,0,0.09090901950331998
Abaco Financial,CLIAB001052,"EMPRESA EJEMPLO 53, S.A. DE C.V.","PAGADOR EJEMPLO 53, S.A. DE C.V.",DSB9569-905,2024-11-21,42376.66,46614.33,USD,42376.66,4237.67,1398.43,,466.14,,0,0.09090916891865652
Abaco Financial,CLIAB001053,"EMPRESA EJEMPLO 54, S.A. DE C.V.","PAGADOR EJEMPLO 54, S.A. DE C.V.",DSB4191-150,2025-11-17,13641.28,15005.41,USD,13641.28,1364.13,450.16,,150.05,,0,0.09090921207751068
Abaco Technologies,CLIAB001054,"EMPRESA EJEMPLO 55, S.A. DE C.V.","PAGADOR EJEMPLO 55, S.A. DE C.V.",DSB4550-235,2025-04-16,24585.38,27043.92,USD,24585.38,2458.54,811.32,,270.44,,0,0.09090915813979616
Abaco Financial,CLIAB001055,"EMPRESA EJEMPLO 56, S.A. DE C.V.","PAGADOR EJEMPLO 56, S.A. DE C.V.",DSB4512-011,2025-08-29,2072.93,2280.22,USD,2072.93,207.29,68.41,,22.8,,0,0.09090789485225104
Abaco Technologies,CLIAB001056,"EMPRESA EJEMPLO 57, S.A. DE C.V.","PAGADOR EJEMPLO 57, S.A. DE C.V.",DSB1028-198,2025-04-14,63551.88,69907.07,USD,63551.88,6355.19,2097.21,,699.07,,0,0.09090911691764525
Abaco Financial,CLIAB001057,"EMPRESA EJEMPLO 58, S.A. DE C.V.","PAGADOR EJEMPLO 58, S.A. DE C.V.",DSB4153-257,2025-08-27,79172.2,87089.42,USD,79172.2,7917.22,2612.68,,870.89,,0,0.09090909090909094
Abaco Financial,CLIAB001058,"EMPRESA EJEMPLO 59, S.A. DE C.V.","PAGADOR EJEMPLO 59, S.A. DE C.V.",DSB2125-611,2025-08-17,12589.63,13848.59,USD,12589.63,1258.96,415.46,,138.49,,0,0.09090889397404367
Abaco Financial,CLIAB001059,"EMPRESA EJEMPLO 60, S.A. DE C.V.","PAGADOR EJEMPLO 60, S.A. DE C.V.",DSB5725-162,2025-08-24,8203.54,9023.89,USD,8203.54,820.35,270.72,,90.24,,0,0.09090868793835016
Abaco Technologies,CLIAB001060,"EMPRESA EJEMPLO 61, S.A. DE C.V.","PAGADOR EJEMPLO 61, S.A. DE C.V.",DSB3597-298,2025-04-12,37693.57,41462.93,USD,37693.57,3769.36,1243.89,,414.63,,0,0.09090915668526078
Abaco Technologies,CLIAB001061,"EMPRESA EJEMPLO 62, S.A. DE C.V.","PAGADOR EJEMPLO 62, S.A. DE C.V.",DSB1454-660,2025-09-09,77937.54,85731.29,USD,77937.54,7793.75,2571.94,,857.31,,0,0.09090904849326309
Abaco Financial,CLIAB001062,"EMPRESA EJEMPLO 63, S.A. DE C.V.","PAGADOR EJEMPLO 63, S.A. DE C.V.",DSB4602-859,2025-01-04,47397.4,52137.14,USD,47397.4,4739.74,1564.11,,521.37,,0,0.09090909090909083
Abaco Technologies,CLIAB001063,"EMPRESA EJEMPLO 64, S.A. DE C.V.","PAGADOR EJEMPLO 64, S.A. DE C.V.",DSB6559-985,2025-12-03,40622.07,44684.28,USD,40622.07,4062.21,1340.53,,446.84,,0,0.09090915194336802
Abaco Financial,CLIAB001064,"EMPRESA EJEMPLO 65, S.A. DE C.V.","PAGADOR EJEMPLO 65, S.A. DE C.V.",DSB1638-890,2025-02-21,5272.83,5800.11,USD,5272.83,527.28,174.0,,58.0,,0,0.09090862069857297
Abaco Financial,CLIAB001065,"EMPRESA EJEMPLO 66, S.A. DE C.V.","PAGADOR EJEMPLO 66, S.A. DE C.V.",DSB2521-488,2024-11-24,52786.69,58065.36,USD,52786.69,5278.67,1741.96,,580.65,,0,0.09090910656542894
Abaco Financial,CLIAB001066,"EMPRESA EJEMPLO 67, S.A. DE C.V.","PAGADOR EJEMPLO 67, S.A. DE C.V.",DSB1638-199,2025-08-22,5499.19,6049.11,USD,5499.19,549.92,181.47,,60.49,,0,0.09090924119415911
Abaco Financial,CLIAB001067,"EMPRESA EJEMPLO 68, S.A. DE C.V.","PAGADOR EJEMPLO 68, S.A. DE C.V.",DSB3550-727,2025-03-08,65037.99,71541.79,USD,65037.99,6503.8,2146.25,,715.42,,0,0.09090910361622206
Abaco Technologies,CLIAB001068,"EMPRESA EJEMPLO 69, S.A. DE C.V.","PAGADOR EJEMPLO 69, S.A. DE C.V.",DSB1281-538,2025-07-22,4199.28,4619.21,USD,4199.28,419.93,138.58,,46.19,,0,0.09090948452224523
Abaco Technologies,CLIAB001069,"EMPRESA EJEMPLO 70, S.A. DE C.V.","PAGADOR EJEMPLO 70, S.A. DE C.V.",DSB6703-525,2025-02-10,94112.65,103523.92,USD,94112.65,9411.27,3105.72,,1035.24,,0,0.09090913481637874
Abaco Financial,CLIAB001070,"EMPRESA EJEMPLO 71, S.A. DE C.V.","PAGADOR EJEMPLO 71, S.A. DE C.V.",DSB9252-613,2025-05-11,17318.59,19050.45,USD,17318.59,1731.86,571.51,,190.5,,0,0.0909091386292713
Abaco Technologies,CLIAB001071,"EMPRESA EJEMPLO 72, S.A. DE C.V.","PAGADOR EJEMPLO 72, S.A. DE C.V.",DSB4717-003,2025-06-04,83087.26,91395.99,USD,83087.26,8308.73,2741.88,,913.96,,0,0.09090913069599671
Abaco Technologies,CLIAB001072,"EMPRESA EJEMPLO 73, S.A. DE C.V.","PAGADOR EJEMPLO 73, S.A. DE C.V.",DSB7859-862,2025-08-09,69479.73,76427.7,USD,69479.73,6947.97,2292.83,,764.28,,0,0.0909090552247418
Abaco Technologies,CLIAB001073,"EMPRESA EJEMPLO 74, S.A. DE C.V.","PAGADOR EJEMPLO 74, S.A. DE C.V.",DSB8643-328,2025-03-20,38407.2,42247.92,USD,38407.2,3840.72,1267.44,,422.48,,0,0.09090909090909094
Abaco Technologies,CLIAB001074,"EMPRESA EJEMPLO 75, S.A. DE C.V.","PAGADOR EJEMPLO 75, S.A. DE C.V.",DSB4672-595,2025-08-18,75942.91,83537.2,USD,75942.91,7594.29,2506.12,,835.37,,0,0.09090908002662279
Abaco Financial,CLIAB001075,"EMPRESA EJEMPLO 76, S.A. DE C.V.","PAGADOR EJEMPLO 76, S.A. DE C.V.",DSB2634-823,2025-05-01,31469.95,34616.95,USD,31469.95,3147.0,1038.51,,346.17,,0,0.09090922221628417
Abaco Financial,CLIAB001076,"EMPRESA EJEMPLO 77, S.A. DE C.V.","PAGADOR EJEMPLO 77, S.A. DE C.V.",DSB5264-512,2025-07-13,75758.59,83334.45,USD,75758.59,7575.86,2500.03,,833.34,,0,0.09090910181803569
Abaco Financial,CLIAB001077,"EMPRESA EJEMPLO 78, S.A. DE C.V.","PAGADOR EJEMPLO 78, S.A. DE C.V.",DSB1156-022,2025-05-19,55926.75,61519.43,USD,55926.75,5592.68,1845.58,,615.19,,0,0.09090916479557765
Abaco Financial,CLIAB001078,"EMPRESA EJEMPLO 79, S.A. DE C.V.","PAGADOR EJEMPLO 79, S.A. DE C.V.",DSB1756-963,2025-08-30,86374.01,95011.41,USD,86374.01,8637.4,2850.34,,950.11,,0,0.09090908134086217
Abaco Technologies,CLIAB001079,"EMPRESA EJEMPLO 80, S.A. DE C.V.","PAGADOR EJEMPLO 80, S.A. DE C.V.",DSB8880-307,2025-10-27,98023.22,107825.54,USD,98023.22,9802.32,3234.77,,1078.26,,0,0.09090907404683524
Abaco Financial,CLIAB001080,"EMPRESA EJEMPLO 81, S.A. DE C.V.","PAGADOR EJEMPLO 81, S.A. DE C.V.",DSB3958-829,2025-11-05,13676.54,15044.19,USD,13676.54,1367.65,451.33,,150.44,,0,0.09090884919693243
Abaco Financial,CLIAB001081,"EMPRESA EJEMPLO 82, S.A. DE C.V.","PAGADOR EJEMPLO 82, S.A. DE C.V.",DSB1898-193,2025-05-30,47922.2,52714.42,USD,47922.2,4792.22,1581.43,,527.14,,0,0.09090909090909094
Abaco Technologies,CLIAB001082,"EMPRESA EJEMPLO 83, S.A. DE C.V.","PAGADOR EJEMPLO 83, S.A. DE C.V.",DSB2505-009,2025-07-26,18524.04,20376.44,USD,18524.04,1852.4,611.29,,203.76,,0,0.09090891244986843
Abaco Technologies,CLIAB001083,"EMPRESA EJEMPLO 84, S.A. DE C.V.","PAGADOR EJEMPLO 84, S.A. DE C.V.",DSB6733-153,2025-09-05,69349.09,76284.0,USD,69349.09,6934.91,2288.52,,762.84,,0,0.09090910282628084
Abaco Technologies,CLIAB001084,"EMPRESA EJEMPLO 85, S.A. DE C.V.","PAGADOR EJEMPLO 85, S.A. DE C.V.",DSB2974-794,2025-02-26,80813.93,88895.32,USD,80813.93,8081.39,2666.86,,888.95,,0,0.09090906022949252
Abaco Technologies,CLIAB001085,"EMPRESA EJEMPLO 86, S.A. DE C.V.","PAGADOR EJEMPLO 86, S.A. DE C.V.",DSB3456-069,2025-12-06,7171.79,7888.97,USD,7171.79,717.18,236.67,,78.89,,0,0.09090920614478193
Abaco Technologies,CLIAB001086,"EMPRESA EJEMPLO 87, S.A. DE C.V.","PAGADOR EJEMPLO 87, S.A. DE C.V.",DSB4352-879,2025-03-09,53729.11,59102.02,USD,53729.11,5372.91,1773.06,,591.02,,0,0.09090907552736771
Abaco Technologies,CLIAB001087,"EMPRESA EJEMPLO 88, S.A. DE C.V.","PAGADOR EJEMPLO 88, S.A. DE C.V.",DSB9862-395,2025-10-14,33422.24,36764.46,USD,33422.24,3342.22,1102.93,,367.64,,0,0.09090899199933855
Abaco Financial,CLIAB001088,"EMPRESA EJEMPLO 89, S.A. DE C.V.","PAGADOR EJEMPLO 89, S.A. DE C.V.",DSB9982-159,2025-01-31,9605.11,10565.62,USD,9605.11,960.51,316.97,,105.66,,0,0.09090900486672815
Abaco Technologies,CLIAB001089,"EMPRESA EJEMPLO 90, S.A. DE C.V.","PAGADOR EJEMPLO 90, S.A. DE C.V.",DSB3481-909,2025-05-07,90065.09,99071.6,USD,90065.09,9006.51,2972.15,,990.72,,0,0.09090910008519104
Abaco Financial,CLIAB001090,"EMPRESA EJEMPLO 91, S.A. DE C.V.","PAGADOR EJEMPLO 91, S.A. DE C.V.",DSB3517-821,2025-09-30,23307.95,25638.75,USD,23307.95,2330.8,769.16,,256.39,,0,0.09090926819755252
Abaco Technologies,CLIAB001091,"EMPRESA EJEMPLO 92, S.A. DE C.V.","PAGADOR EJEMPLO 92, S.A. DE C.V.",DSB2394-914,2025-09-11,84389.09,92828.0,USD,84389.09,8438.91,2784.84,,928.28,,0,0.09090910070237435
Abaco Financial,CLIAB001092,"EMPRESA EJEMPLO 93, S.A. DE C.V.","PAGADOR EJEMPLO 93, S.A. DE C.V.",DSB5047-384,2025-07-14,91822.17,101004.39,USD,91822.17,9182.22,3030.13,,1010.04,,0,0.09090911791061751
Abaco Technologies,CLIAB001093,"EMPRESA EJEMPLO 94, S.A. DE C.V.","PAGADOR EJEMPLO 94, S.A. DE C.V.",DSB2996-017,2025-02-16,48185.33,53003.86,USD,48185.33,4818.53,1590.12,,530.04,,0,0.09090903945486228
Abaco Financial,CLIAB001094,"EMPRESA EJEMPLO 95, S.A. DE C.V.","PAGADOR EJEMPLO 95, S.A. DE C.V.",DSB9884-937,2025-04-22,12368.85,13605.74,USD,12368.85,1236.89,408.17,,136.06,,0,0.09090942499268684
Abaco Technologies,CLIAB001095,"EMPRESA EJEMPLO 96, S.A. DE C.V.","PAGADOR EJEMPLO 96, S.A. DE C.V.",DSB5967-087,2025-08-04,37553.82,41309.2,USD,37553.82,3755.38,1239.28,,413.09,,0,0.09090904689512258
Abaco Technologies,CLIAB001096,"EMPRESA EJEMPLO 97, S.A. DE C.V.","PAGADOR EJEMPLO 97, S.A. DE C.V.",DSB5739-350,2025-06-14,14743.65,16218.02,USD,14743.65,1474.37,486.54,,162.18,,0,0.09090937118094566
Abaco Financial,CLIAB001097,"EMPRESA EJEMPLO 98, S.A. DE C.V.","PAGADOR EJEMPLO 98, S.A. DE C.V.",DSB8767-494,2025-11-24,96537.66,106191.43,USD,96537.66,9653.77,3185.74,,1061.91,,0,0.09090912515256633
Abaco Financial,CLIAB001098,"EMPRESA EJEMPLO 99, S.A. DE C.V.","PAGADOR EJEMPLO 99, S.A. DE C.V.",DSB5672-677,2025-10-02,57872.84,63660.12,USD,57872.84,5787.28,1909.8,,636.6,,0,0.0909090337875581
Abaco Financial,CLIAB001099,"EMPRESA EJEMPLO 100, S.A. DE C.V.","PAGADOR EJEMPLO 100, S.A. DE C.V.",DSB2147-745,2025-08-07,81642.9,89807.19,USD,81642.9,8164.29,2694.22,,898.07,,0,0.09090909090909105
Abaco Technologies,CLIAB001100,"EMPRESA EJEMPLO 101, S.A. DE C.V.","PAGADOR EJEMPLO 101, S.A. DE C.V.",DSB2966-208,2025-06-05,44474.36,48921.8,USD,44474.36,4447.44,1467.65,,489.22,,0,0.09090916523921855
Abaco Financial,CLIAB001101,"EMPRESA EJEMPLO 102, S.A. DE C.V.","PAGADOR EJEMPLO 102, S.A. DE C.V.",DSB4939-350,2025-12-08,90057.88,99063.67,USD,90057.88,9005.79,2971.91,,990.64,,0,0.09090910926275997
Abaco Financial,CLIAB001102,"EMPRESA EJEMPLO 103, S.A. DE C.V.","PAGADOR EJEMPLO 103, S.A. DE C.V.",DSB1772-589,2025-06-18,73324.36,80656.8,USD,73324.36,7332.44,2419.7,,806.57,,0,0.09090913599349348
Abaco Technologies,CLIAB001103,"EMPRESA EJEMPLO 104, S.A. DE C.V.","PAGADOR EJEMPLO 104, S.A. DE C.V.",DSB4997-371,2025-08-31,99771.57,109748.73,USD,99771.57,9977.16,3292.46,,1097.49,,0,0.09090911575924376
Abaco Financial,CLIAB001104,"EMPRESA EJEMPLO 105, S.A. DE C.V.","PAGADOR EJEMPLO 105, S.A. DE C.V.",DSB1191-425,2025-05-13,87799.8,96579.78,USD,87799.8,8779.98,2897.39,,965.8,,0,0.09090909090909083
