Company,Customer ID,Cliente,Pagador,Application ID,Loan ID,Product Type,Disbursement Date,TPV,Disbursement Amount,Origination Fee,Origination Fee Taxes,Loan Currency,Interest Rate APR,Term,Term Unit,Payment Frequency,Days in Default,Loan Status,Outstanding Loan Value,Pledge To,Pledge Date,Other,New Loan ID,New Loan Date,Old Loan ID,Recovery Date,Recovery Value,delinquency_bucket,risk_score,advance_rate
Abaco Financial,CLIAB001025,"EMPRESA EJEMPLO 26, S.A. DE C.V.","PAGADOR EJEMPLO 26, S.A. DE C.V.",DSB9572-697,DSB9572-697,factoring,2025-07-06,55964.88,49218.18,1476.55,191.95,USD,0.3991,120,days,bullet,0,Complete,10560.97,,,,,,,,,current,0.19484,0.8794476107158633
Abaco Financial,CLIAB001026,"EMPRESA EJEMPLO 27, S.A. DE C.V.","PAGADOR EJEMPLO 27, S.A. DE C.V.",DSB2779-714,DSB2779-714,factoring,2025-03-10,28608.26,25892.01,776.76,100.98,USD,0.3743,30,days,bullet,0,Current,4623.92,,,,,,,,,current,0.16992000000000002,0.9050536453457847
Abaco Technologies,CLIAB001027,"EMPRESA EJEMPLO 28, S.A. DE C.V.","PAGADOR EJEMPLO 28, S.A. DE C.V.",DSB3656-173,DSB3656-173,factoring,2024-12-13,89956.86,80148.36,2404.45,312.58,USD,0.2431,30,days,bullet,0,Current,14465.79,,,,,,,,,current,0.14124,0.8909644022701548
Abaco Financial,CLIAB001028,"EMPRESA EJEMPLO 29, S.A. DE C.V.","PAGADOR EJEMPLO 29, S.A. DE C.V.",DSB4796-363,DSB4796-363,factoring,2024-11-17,55324.65,50001.54,1500.05,195.01,USD,0.3986,120,days,bullet,0,Current,18002.62,,,,,,,,,current,0.21084000000000003,0.9037841179293498
Abaco Technologies,CLIAB001029,"EMPRESA EJEMPLO 30, S.A. DE C.V.","PAGADOR EJEMPLO 30, S.A. DE C.V.",DSB6547-874,DSB6547-874,factoring,2025-04-24,74902.65,67221.0,2016.63,262.16,USD,0.3302,30,days,bullet,0,Current,47663.0,,,,,,,,,current,0.21808,0.8974448834587295
Abaco Financial,CLIAB001030,"EMPRESA EJEMPLO 31, S.A. DE C.V.","PAGADOR EJEMPLO 31, S.A. DE C.V.",DSB3974-892,DSB3974-892,factoring,2025-08-17,25795.72,22919.0,687.57,89.38,USD,0.2483,90,days,bullet,0,Current,16640.91,,,,,,,,,current,0.14832,0.8884807247093703
Abaco Financial,CLIAB001031,"EMPRESA EJEMPLO 32, S.A. DE C.V.","PAGADOR EJEMPLO 32, S.A. DE C.V.",DSB6706-529,DSB6706-529,factoring,2025-01-20,67223.48,62492.64,1874.78,243.72,USD,0.3306,90,days,bullet,0,Complete,2931.2,,,,,,,,,current,0.14604,0.9296251845337373
Abaco Financial,CLIAB001032,"EMPRESA EJEMPLO 33, S.A. DE C.V.","PAGADOR EJEMPLO 33, S.A. DE C.V.",DSB5812-313,DSB5812-313,factoring,2025-02-22,99460.5,86579.54,2597.39,337.66,USD,0.3787,90,days,bullet,0,Default,32896.59,,,,,,,,,current,0.52348,0.8704917027362621
Abaco Financial,CLIAB001033,"EMPRESA EJEMPLO 34, S.A. DE C.V.","PAGADOR EJEMPLO 34, S.A. DE C.V.",DSB6747-458,DSB6747-458,factoring,2024-12-03,55723.73,49362.53,1480.88,192.51,USD,0.3633,180,days,bullet,0,Complete,17660.08,,,,,,,,,current,0.19592,0.885843966295867
Abaco Technologies,CLIAB001034,"EMPRESA EJEMPLO 35, S.A. DE C.V.","PAGADOR EJEMPLO 35, S.A. DE C.V.",DSB3913-537,DSB3913-537,factoring,2025-04-24,17779.78,15708.8,471.26,61.26,USD,0.3611,90,days,bullet,0,Current,10934.69,,,,,,,,,current,0.18044,0.8835204935044191
Abaco Technologies,CLIAB001035,"EMPRESA EJEMPLO 36, S.A. DE C.V.","PAGADOR EJEMPLO 36, S.A. DE C.V.",DSB8542-149,DSB8542-149,factoring,2025-03-19,99015.33,81292.83,2438.79,317.04,USD,0.2238,60,days,bullet,0,Current,69556.69,,,,,,,,,current,0.18492,0.8210125644180553
Abaco Technologies,CLIAB001036,"EMPRESA EJEMPLO 37, S.A. DE C.V.","PAGADOR EJEMPLO 37, S.A. DE C.V.",DSB6596-611,DSB6596-611,factoring,2025-08-24,36589.62,30883.06,926.49,120.44,USD,0.2549,60,days,bullet,1,Complete,18709.83,,,,,,,,,early_delinquent,0.15738222222222223,0.8440388284983555
Abaco Technologies,CLIAB001037,"EMPRESA EJEMPLO 38, S.A. DE C.V.","PAGADOR EJEMPLO 38, S.A. DE C.V.",DSB8829-728,DSB8829-728,factoring,2025-01-19,50650.11,46585.15,1397.55,181.68,USD,0.1677,120,days,bullet,1,Current,29319.57,,,,,,,,,early_delinquent,0.13570222222222222,0.9197443006540361
Abaco Technologies,CLIAB001038,"EMPRESA EJEMPLO 39, S.A. DE C.V.","PAGADOR EJEMPLO 39, S.A. DE C.V.",DSB4544-878,DSB4544-878,factoring,2025-08-07,44408.94,40003.75,1200.11,156.01,USD,0.2664,180,days,bullet,0,Complete,11113.4,,,,,,,,,current,0.14296000000000003,0.9008039822612294
Abaco Technologies,CLIAB001039,"EMPRESA EJEMPLO 40, S.A. DE C.V.","PAGADOR EJEMPLO 40, S.A. DE C.V.",DSB8598-413,DSB8598-413,factoring,2025-03-29,4844.64,4096.09,122.88,15.97,USD,0.1818,30,days,bullet,0,Current,4676.3,,,,,,,,,current,0.09331999999999999,0.8454890353049969
Abaco Financial,CLIAB001040,"EMPRESA EJEMPLO 41, S.A. DE C.V.","PAGADOR EJEMPLO 41, S.A. DE C.V.",DSB9014-215,DSB9014-215,factoring,2024-11-21,46269.25,42859.37,1285.78,167.15,USD,0.2828,90,days,bullet,0,Complete,45151.94,,,,,,,,,current,0.19732,0.9263035385272077
Abaco Technologies,CLIAB001041,"EMPRESA EJEMPLO 42, S.A. DE C.V.","PAGADOR EJEMPLO 42, S.A. DE C.V.",DSB5523-825,DSB5523-825,factoring,2025-02-04,52113.73,44215.56,1326.47,172.44,USD,0.2497,90,days,bullet,0,Current,1321.12,,,,,,,,,current,0.10588000000000002,0.8484435867476766
Abaco Technologies,CLIAB001042,"EMPRESA EJEMPLO 43, S.A. DE C.V.","PAGADOR EJEMPLO 43, S.A. DE C.V.",DSB3259-161,DSB3259-161,factoring,2025-09-13,96302.19,89117.76,2673.53,347.56,USD,0.3221,30,days,bullet,0,Current,24098.94,,,,,,,,,current,0.18884,0.9253970236813929
Abaco Financial,CLIAB001043,"EMPRESA EJEMPLO 44, S.A. DE C.V.","PAGADOR EJEMPLO 44, S.A. DE C.V.",DSB4909-687,DSB4909-687,factoring,2024-11-06,55373.44,50234.2,1507.03,195.91,USD,0.3837,30,days,bullet,10,Complete,30696.49,,,,,,,,,early_delinquent,0.24390222222222224,0.9071894395580263
Abaco Financial,CLIAB001044,"EMPRESA EJEMPLO 45, S.A. DE C.V.","PAGADOR EJEMPLO 45, S.A. DE C.V.",DSB4828-830,DSB4828-830,factoring,2025-05-17,61560.35,53122.89,1593.69,207.18,USD,0.2915,90,days,bullet,0,Current,7145.47,,,,,,,,,current,0.1456,0.862940025519673
Abaco Financial,CLIAB001045,"EMPRESA EJEMPLO 46, S.A. DE C.V.","PAGADOR EJEMPLO 46, S.A. DE C.V.",DSB3922-483,DSB3922-483,factoring,2025-01-16,5554.26,4477.34,134.32,17.46,USD,0.3949,180,days,bullet,0,Current,2730.56,,,,,,,,,current,0.17076,0.8061091846618631
Abaco Financial,CLIAB001046,"EMPRESA EJEMPLO 47, S.A. DE C.V.","PAGADOR EJEMPLO 47, S.A. DE C.V.",DSB6244-913,DSB6244-913,factoring,2025-02-05,47873.71,39542.74,1186.28,154.22,USD,0.3124,60,days,bullet,0,Current,2168.87,,,,,,,,,current,0.13476000000000002,0.8259802718444006
Abaco Financial,CLIAB001047,"EMPRESA EJEMPLO 48, S.A. DE C.V.","PAGADOR EJEMPLO 48, S.A. DE C.V.",DSB3812-450,DSB3812-450,factoring,2025-02-06,38086.65,34044.86,1021.35,132.77,USD,0.2753,180,days,bullet,0,Current,35949.67,,,,,,,,,current,0.18612,0.8938790888670964
Abaco Financial,CLIAB001048,"EMPRESA EJEMPLO 49, S.A. DE C.V.","PAGADOR EJEMPLO 49, S.A. DE C.V.",DSB9166-103,DSB9166-103,factoring,2024-12-03,94480.91,87874.79,2636.24,342.71,USD,0.3851,120,days,bullet,0,Current,43296.15,,,,,,,,,current,0.23624,0.9300798436424881
Abaco Technologies,CLIAB001049,"EMPRESA EJEMPLO 50, S.A. DE C.V.","PAGADOR EJEMPLO 50, S.A. DE C.V.",DSB8219-311,DSB8219-311,factoring,2024-11-18,55016.06,51782.2,1553.47,201.95,USD,0.3551,60,days,bullet,0,Current,11805.85,,,,,,,,,current,0.18064000000000002,0.94121970929943
Abaco Financial,CLIAB001050,"EMPRESA EJEMPLO 51, S.A. DE C.V.","PAGADOR EJEMPLO 51, S.A. DE C.V.",DSB5177-599,DSB5177-599,factoring,2025-08-16,38348.65,30903.05,927.09,120.52,USD,0.3208,30,days,bullet,0,Current,26138.96,,,,,,,,,current,0.19112,0.8058445342926022
Abaco Technologies,CLIAB001051,"EMPRESA EJEMPLO 52, S.A. DE C.V.","PAGADOR EJEMPLO 52, S.A. DE C.V.",DSB3323-139,DSB3323-139,factoring,2025-09-17,34721.83,29135.23,874.06,113.63,USD,0.1795,180,days,bullet,0,Complete,1360.62,,,,,,,,,current,0.078,0.839104102519942
Abaco Financial,CLIAB001052,"EMPRESA EJEMPLO 53, S.A. DE C.V.","PAGADOR EJEMPLO 53, S.A. DE C.V.",DSB9569-905,DSB9569-905,factoring,2024-10-22,42376.66,40051.75,1201.55,156.2,USD,0.1944,30,days,bullet,0,Current,31004.79,,,,,,,,,current,0.14816000000000001,0.94513701646142
Abaco Financial,CLIAB001053,"EMPRESA EJEMPLO 54, S.A. DE C.V.","PAGADOR EJEMPLO 54, S.A. DE C.V.",DSB4191-150,DSB4191-150,factoring,2025-05-21,13641.28,11424.61,342.74,44.56,USD,0.2352,180,days,bullet,0,Current,10093.3,,,,,,,,,current,0.12788,0.8375027856623425
Abaco Technologies,CLIAB001054,"EMPRESA EJEMPLO 55, S.A. DE C.V.","PAGADOR EJEMPLO 55, S.A. DE C.V.",DSB4550-235,DSB4550-235,factoring,2025-03-17,24585.38,21061.29,631.84,82.14,USD,0.2763,30,days,bullet,0,Complete,9568.67,,,,,,,,,current,0.14352,0.8566591201762999
Abaco Financial,CLIAB001055,"EMPRESA EJEMPLO 56, S.A. DE C.V.","PAGADOR EJEMPLO 56, S.A. DE C.V.",DSB4512-011,DSB4512-011,factoring,2025-05-01,2072.93,1939.86,58.2,7.57,USD,0.2387,120,days,bullet,10,Default,1188.7,,,,,,,,,early_delinquent,0.4233022222222222,0.935805840042838
Abaco Technologies,CLIAB001056,"EMPRESA EJEMPLO 57, S.A. DE C.V.","PAGADOR EJEMPLO 57, S.A. DE C.V.",DSB1028-198,DSB1028-198,factoring,2024-12-15,63551.88,55116.44,1653.49,214.95,USD,0.3006,120,days,bullet,0,Complete,50306.34,,,,,,,,,current,0.20784000000000002,0.8672668692098487
Abaco Financial,CLIAB001057,"EMPRESA EJEMPLO 58, S.A. DE C.V.","PAGADOR EJEMPLO 58, S.A. DE C.V.",DSB4153-257,DSB4153-257,factoring,2025-06-28,79172.2,64420.91,1932.63,251.24,USD,0.3936,60,days,bullet,0,Complete,27782.71,,,,,,,,,current,0.22164000000000003,0.8136809385112452
Abaco Financial,CLIAB001058,"EMPRESA EJEMPLO 59, S.A. DE C.V.","PAGADOR EJEMPLO 59, S.A. DE C.V.",DSB2125-611,DSB2125-611,factoring,2025-07-18,12589.63,10341.74,310.25,40.33,USD,0.3592,30,days,bullet,0,Current,8824.95,,,,,,,,,current,0.17548,0.8214490815059696
Abaco Financial,CLIAB001059,"EMPRESA EJEMPLO 60, S.A. DE C.V.","PAGADOR EJEMPLO 60, S.A. DE C.V.",DSB5725-162,DSB5725-162,factoring,2025-02-25,8203.54,7574.15,227.22,29.54,USD,0.1867,180,days,bullet,0,Default,3070.34,,,,,,,,,current,0.38928,0.9232782432949677
Abaco Technologies,CLIAB001060,"EMPRESA EJEMPLO 61, S.A. DE C.V.","PAGADOR EJEMPLO 61, S.A. DE C.V.",DSB3597-298,DSB3597-298,factoring,2024-10-14,37693.57,34750.46,1042.51,135.53,USD,0.3769,180,days,bullet,0,Current,3147.44,,,,,,,,,current,0.16556,0.9219201046756781
Abaco Technologies,CLIAB001061,"EMPRESA EJEMPLO 62, S.A. DE C.V.","PAGADOR EJEMPLO 62, S.A. DE C.V.",DSB1454-660,DSB1454-660,factoring,2025-06-11,77937.54,68878.13,2066.34,268.62,USD,0.2122,90,days,bullet,0,Current,884.88,,,,,,,,,current,0.08888000000000001,0.8837606370434583
Abaco Financial,CLIAB001062,"EMPRESA EJEMPLO 63, S.A. DE C.V.","PAGADOR EJEMPLO 63, S.A. DE C.V.",DSB4602-859,DSB4602-859,factoring,2024-12-05,47397.4,38318.22,1149.55,149.44,USD,0.3418,30,days,bullet,0,Current,11257.19,,,,,,,,,current,0.17352,0.8084456109406845
Abaco Technologies,CLIAB001063,"EMPRESA EJEMPLO 64, S.A. DE C.V.","PAGADOR EJEMPLO 64, S.A. DE C.V.",DSB6559-985,DSB6559-985,factoring,2025-06-06,40622.07,35408.52,1062.26,138.09,USD,0.3671,180,days,bullet,10,Current,39398.48,,,,,,,,,early_delinquent,0.24886222222222223,0.8716572050611896
Abaco Financial,CLIAB001064,"EMPRESA EJEMPLO 65, S.A. DE C.V.","PAGADOR EJEMPLO 65, S.A. DE C.V.",DSB1638-890,DSB1638-890,factoring,2024-10-24,5272.83,4923.09,147.69,19.2,USD,0.3812,120,days,bullet,0,Current,5110.97,,,,,,,,,current,0.17468,0.9336712922662025
Abaco Financial,CLIAB001065,"EMPRESA EJEMPLO 66, S.A. DE C.V.","PAGADOR EJEMPLO 66, S.A. DE C.V.",DSB2521-488,DSB2521-488,factoring,2024-10-25,52786.69,47212.93,1416.39,184.13,USD,0.2236,30,days,bullet,0,Current,47569.15,,,,,,,,,current,0.17504000000000003,0.8944097460931912
Abaco Financial,CLIAB001066,"EMPRESA EJEMPLO 67, S.A. DE C.V.","PAGADOR EJEMPLO 67, S.A. DE C.V.",DSB1638-199,DSB1638-199,factoring,2025-04-24,5499.19,4631.11,138.93,18.06,USD,0.1645,120,days,bullet,0,Current,933.1,,,,,,,,,current,0.07020000000000001,0.8421440248472957
Abaco Financial,CLIAB001067,"EMPRESA EJEMPLO 68, S.A. DE C.V.","PAGADOR EJEMPLO 68, S.A. DE C.V.",DSB3550-727,DSB3550-727,factoring,2024-11-08,65037.99,55818.22,1674.55,217.69,USD,0.2959,120,days,bullet,0,Current,29477.87,,,,,,,,,current,0.18536000000000002,0.8582402377441247
Abaco Technologies,CLIAB001068,"EMPRESA EJEMPLO 69, S.A. DE C.V.","PAGADOR EJEMPLO 69, S.A. DE C.V.",DSB1281-538,DSB1281-538,factoring,2025-03-24,4199.28,3535.64,106.07,13.79,USD,0.3534,120,days,bullet,0,Current,319.99,,,,,,,,,current,0.14316,0.841963384199196
Abaco Technologies,CLIAB001069,"EMPRESA EJEMPLO 70, S.A. DE C.V.","PAGADOR EJEMPLO 70, S.A. DE C.V.",DSB6703-525,DSB6703-525,factoring,2024-12-12,94112.65,81171.77,2435.15,316.57,USD,0.3034,60,days,bullet,0,Complete,51911.4,,,,,,,,,current,0.21016,0.8624958493890036
Abaco Financial,CLIAB001070,"EMPRESA EJEMPLO 71, S.A. DE C.V.","PAGADOR EJEMPLO 71, S.A. DE C.V.",DSB9252-613,DSB9252-613,factoring,2025-04-11,17318.59,14923.23,447.7,58.2,USD,0.3526,30,days,bullet,0,Complete,6806.02,,,,,,,,,current,0.16864000000000004,0.8616885092839544
Abaco Technologies,CLIAB001071,"EMPRESA EJEMPLO 72, S.A. DE C.V.","PAGADOR EJEMPLO 72, S.A. DE C.V.",DSB4717-003,DSB4717-003,factoring,2025-03-06,83087.26,73562.32,2206.87,286.89,USD,0.2672,90,days,bullet,0,Current,6261.38,,,,,,,,,current,0.13248000000000001,0.8853622083578158
Abaco Technologies,CLIAB001072,"EMPRESA EJEMPLO 73, S.A. DE C.V.","PAGADOR EJEMPLO 73, S.A. DE C.V.",DSB7859-862,DSB7859-862,factoring,2025-02-10,69479.73,61152.72,1834.58,238.5,USD,0.3992,180,days,bullet,0,Complete,52601.79,,,,,,,,,current,0.24908000000000002,0.880151952231248
Abaco Technologies,CLIAB001073,"EMPRESA EJEMPLO 74, S.A. DE C.V.","PAGADOR EJEMPLO 74, S.A. DE C.V.",DSB8643-328,DSB8643-328,factoring,2024-12-20,38407.2,32114.67,963.44,125.25,USD,0.1823,90,days,bullet,0,Current,33730.0,,,,,,,,,current,0.14632,0.8361627507342374
Abaco Technologies,CLIAB001074,"EMPRESA EJEMPLO 75, S.A. DE C.V.","PAGADOR EJEMPLO 75, S.A. DE C.V.",DSB4672-595,DSB4672-595,factoring,2025-06-19,75942.91,61288.55,1838.66,239.03,USD,0.1784,60,days,bullet,0,Current,63136.77,,,,,,,,,current,0.16436,0.8070345210632566
Abaco Financial,CLIAB001075,"EMPRESA EJEMPLO 76, S.A. DE C.V.","PAGADOR EJEMPLO 76, S.A. DE C.V.",DSB2634-823,DSB2634-823,factoring,2025-01-31,31469.95,29029.7,870.89,113.22,USD,0.2902,90,days,bullet,0,Current,905.79,,,,,,,,,current,0.12028000000000001,0.9224577732090454
Abaco Financial,CLIAB001076,"EMPRESA EJEMPLO 77, S.A. DE C.V.","PAGADOR EJEMPLO 77, S.A. DE C.V.",DSB5264-512,DSB5264-512,factoring,2025-03-15,75758.59,67655.94,2029.68,263.86,USD,0.3513,120,days,bullet,30,Current,48231.28,,,,,,,,,early_delinquent,0.29358666666666666,0.8930464518941021
Abaco Financial,CLIAB001077,"EMPRESA EJEMPLO 78, S.A. DE C.V.","PAGADOR EJEMPLO 78, S.A. DE C.V.",DSB1156-022,DSB1156-022,factoring,2025-04-19,55926.75,45504.81,1365.14,177.47,USD,0.2371,30,days,bullet,0,Current,34791.28,,,,,,,,,current,0.16944,0.8136501763467392
Abaco Financial,CLIAB001078,"EMPRESA EJEMPLO 79, S.A. DE C.V.","PAGADOR EJEMPLO 79, S.A. DE C.V.",DSB1756-963,DSB1756-963,factoring,2025-07-31,86374.01,81401.29,2442.04,317.47,USD,0.2648,30,days,bullet,0,Current,39657.4,,,,,,,,,current,0.18612,0.9424280521420737
Abaco Technologies,CLIAB001079,"EMPRESA EJEMPLO 80, S.A. DE C.V.","PAGADOR EJEMPLO 80, S.A. DE C.V.",DSB8880-307,DSB8880-307,factoring,2025-07-29,98023.22,85661.78,2569.85,334.08,USD,0.2023,90,days,bullet,0,Current,12633.21,,,,,,,,,current,0.12252,0.8738927368433724
